input,input,output,output,output
C16:0,C18:1,BSFC quartile,NOx quartile,BSFC NOx quartile
26.7,56.5,1,1,1
10.12,79.4,1,1,1
35.8,59.3,1,1,1
34.8,55.9,1,1,1
23.1,63.2,1,1,1
42.8,40.5,1,1,1
23.4,70.3,1,1,1
26.03,45.43,1,1,1
40.42,49.32,1,1,1
66.02,20.43,2,1,1
55.53,23.26,2,1,1
34.32,46.5,2,1,1
48.9,23.18,2,1,1
20.8,58.4,2,1,1
34.8,60.7,2,1,1
23.3,42.4,2,1,1
53.7,22.8,2,1,1
21.28,63.12,3,1,1
29.4,58.4,3,1,1
26.4,65.4,3,1,1
34.5,68.4,4,1,1
20.43,61.9,1,2,1
20.6,61.6,1,2,1
26.1,65.8,1,2,1
73.73,16.93,1,2,1
23.6,65.3,1,2,1
77.89,32.78,1,2,1
52.5,24.8,1,2,1
22.5,54.7,1,2,1
36.3,58.4,1,2,1
30.65,53.3,2,2,1
43.65,34.59,3,1,2
35.6,62.4,3,1,2
23.9,43.9,3,1,2
54.1,22.6,4,1,2
20.6,61.5,4,1,2
32.65,50.05,4,1,2
34.54,50.3,4,1,2
40.21,50.35,4,1,2
23.5,55.8,4,1,2
26.76,46.55,4,1,2
22.3,64.4,1,2,2
28.33,57.51,1,2,2
23.6,44.2,2,2,2
36.5,57.6,2,2,2
23.6,60.5,2,2,2
22.19,48.2,2,2,2
25.21,52.65,2,2,2
20.1,55.2,2,2,2
32.14,47.23,2,2,2
28.5,70.6,3,2,2
21.9,57.4,3,2,2
46.36,32.38,3,2,2
63.5,24,3,2,2
22.3,64.1,3,2,2
24.5,49.5,3,2,2
69.07,18.97,3,2,2
47.9,37,4,2,2
54.32,26.89,4,2,2
13.31,50.76,4,2,2
53.3,25,4,2,2
42.39,34.56,1,3,2
20.6,52.5,2,3,2
24.49,38.32,4,2,3
51.83,24.13,4,2,3
69,23.87,1,3,3
23.88,45.25,1,3,3
39.5,43.2,1,3,3
43.08,40.55,1,3,3
52.9,22.2,1,3,3
67.7,20.5,1,3,3
63.29,23.68,2,3,3
43.56,42.46,2,3,3
35.65,50.5,2,3,3
35.32,50.32,2,3,3
22.9,54.2,2,3,3
43.9,39,2,3,3
42.6,40.5,2,3,3
41.65,50.05,3,3,3
25.2,48.9,3,3,3
43.32,40.57,3,3,3
20.43,46.3,3,3,3
43.48,41.13,3,3,3
37.16,46.93,3,3,3
11.67,57.51,4,3,3
35.76,50.43,4,3,3
31.4,58.4,4,3,3
40.2,43.3,4,3,3
42.7,40.9,4,3,3
25.5,47.1,1,4,3
43.6,56.2,2,4,3
23.1,45.8,2,4,3
10.4,47.1,3,4,3
28.7,57.4,3,4,3
11.2,45.5,4,3,4
15.05,75.32,4,3,4
23.67,58.23,4,3,4
34.3,51.6,4,3,4
29.5,61.7,4,3,4
24.32,62.05,1,4,4
24.5,62.6,1,4,4
34.6,54.2,1,4,4
42.56,50.45,2,4,4
26.43,57.84,2,4,4
20.56,60.33,2,4,4
34.52,42.59,2,4,4
27.54,58.43,2,4,4
23.6,44.7,2,4,4
44.81,39.99,3,4,4
24.34,42.23,3,4,4
39.43,55.43,3,4,4
55.72,40.23,3,4,4
46.32,34.54,3,4,4
20.6,64,3,4,4
42.45,40.32,3,4,4
30.6,60.3,3,4,4
53,23.3,3,4,4
27.35,56.43,3,4,4
44.54,45.5,4,4,4
11.38,48.28,4,4,4
38.43,39.45,4,4,4
11.4,48.3,4,4,4
32.89,44.65,4,4,4
45.21,55.32,4,4,4
42.75,45.55,4,4,4
