input,input,input,input,input,input,input,input,input,input,input,input,input,input,output
V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V14,V22,V27,V28
42,50,270900,270944,267,17,44,24220,76,108,1687,80,2.4265,0.5822,1
645,651,2538079,2538108,108,10,30,11397,84,123,1687,80,2.0334,0.2984,1
829,835,1553913,1553931,71,8,19,7972,99,125,1623,100,1.8513,0.215,1
853,860,369370,369415,176,13,45,18996,99,126,1353,290,2.2455,0.5212,1
1289,1306,498078,498335,2409,60,260,246930,37,126,1353,185,3.3818,1,1
430,441,100250,100337,630,20,87,62357,64,127,1387,40,2.7993,0.9874,1
413,446,138468,138883,9052,230,432,1481991,23,199,1687,150,3.9567,1,1
190,200,210936,210956,132,11,20,20007,124,172,1687,150,2.1206,0.3359,1
330,343,429227,429253,264,15,26,29748,53,148,1687,150,2.4216,0.5593,1
74,90,779144,779308,1506,46,167,180215,53,143,1687,150,3.1778,1,1
106,118,813452,813500,442,13,48,50393,76,143,1687,150,2.6454,0.8612,1
505,515,106604,106668,284,42,69,31062,97,119,1687,150,2.4533,0.9048,1
46,58,179258,179312,480,15,54,61966,102,158,1687,150,2.6812,0.9093,1
581,590,230644,230704,433,22,60,38917,62,111,1687,150,2.6365,0.8299,1
451,466,368143,368208,728,30,68,69258,36,133,1687,150,2.8621,0.9888,1
669,684,491552,491684,1097,59,133,119540,50,134,1687,150,3.0402,1,1
156,192,713788,714056,5044,167,282,570911,11,143,1687,150,3.7028,1,1
90,104,751059,751132,552,38,76,59750,79,134,1687,150,2.7419,0.9918,1
82,89,844704,844729,137,8,25,14907,92,126,1687,150,2.1367,0.2998,1
1601,1613,21349,21376,209,15,27,24807,96,141,1687,200,2.3201,0.5362,1
17,28,42683,42717,284,18,34,32604,87,141,1687,200,2.4533,0.6173,1
43,52,86284,86313,153,13,29,17753,101,134,1687,200,2.1847,0.4317,1
63,72,115485,115504,106,10,19,13829,107,150,1687,200,2.0253,0.2942,1
82,92,149044,149083,264,15,39,32175,92,141,1687,200,2.4216,0.6422,1
75,84,184350,184383,201,17,35,27349,123,148,1687,200,2.3032,0.4913,1
1363,1372,2128884,2128907,171,9,23,16645,77,111,1373,40,2.233,0.3464,1
1358,1372,2356396,2356435,395,19,39,38722,75,118,1373,40,2.5966,0.8355,1
1404,1410,5202306,5202324,85,9,18,8948,97,119,1627,40,1.9294,0.215,1
1281,1302,4332564,4332815,3214,92,253,368381,33,140,1373,40,3.5071,1,1
49,62,4822354,4822392,386,15,38,36875,51,124,1373,40,2.5866,0.7822,1
830,837,1874382,1874415,182,9,33,20751,99,132,1373,40,2.2601,0.3834,1
91,104,2378173,2378236,527,19,63,48793,47,125,1387,40,2.7218,0.9691,1
161,168,2891780,2891804,158,9,24,16680,80,119,1387,40,2.1987,0.2901,1
1328,1338,2691161,2691189,214,10,28,19762,70,111,1387,50,2.3304,0.463,1
1251,1274,3874199,3874261,994,29,62,68851,15,119,1387,50,2.9974,0.9994,1
733,745,3957796,3957839,367,16,43,35856,55,127,1387,50,2.5647,0.8061,1
12,24,304433,304472,320,15,39,32705,55,125,1353,70,2.5052,0.7512,1
162,172,505964,506035,378,34,72,43323,77,135,1353,70,2.5775,0.9381,1
0,10,1701480,1701528,210,36,48,17413,73,100,1333,40,2.3222,0.7659,1
1617,1629,183688,183711,201,22,23,20993,79,126,1633,250,2.3032,0.4564,1
1152,1162,284144,284198,386,35,54,44712,90,132,1687,200,2.5866,0.8299,1
1259,1271,1918092,1918128,324,30,36,30269,65,124,1353,70,2.5106,0.7037,1
